symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
MSTR,False,False,False,Bitcoin,False,True,False,False,20313758.292104997,True,84.13,78.85,52,83.72,76.47,34,84.0,93.33,25,15,2023-12-31,63.16,30.71,32.449999999999996,245.9,245.9,389.32868904369855,False,,,,,,,,,2,⚠️ WEAK
RIOT,False,False,False,Bitcoin,False,True,False,True,6176737.964785,True,93.75,91.53,59,89.8,78.95,38,75.86,69.57,29,23,2023-12-31,15.47,8.605,6.865,2.2200000000000006,2.2200000000000006,14.35035552682612,False,,,,,,,,,3,⚠️ WEAK
MARA,False,False,False,Bitcoin,False,True,False,False,10457887.97337,True,86.89,87.93,58,85.11,77.5,40,76.47,74.07,34,27,2025-06-30,15.68,9.81,5.869999999999999,0.4499999999999993,0.4499999999999993,2.869897959183669,True,2024-03-31,22.58,34.09,11.510000000000005,-6.449999999999999,6.449999999999999,28.565101860053144,False,2,⚠️ WEAK
GBTC,False,False,False,BitcoinETF,False,True,False,False,1125940.871275,False,89.47,90.91,33,90.91,92.31,13,75.0,66.67,4,3,2025-06-30,84.83,59.79,25.04,0.8200000000000074,0.8200000000000074,0.9666391606742986,True,,,,,,,,,1,⚠️ WEAK
BITO,False,False,False,BitcoinETF,False,True,False,False,1984458.0278,False,85.19,71.43,35,90.0,90.91,11,100.0,0.0,2,0,2024-09-30,11.73,9.16,2.5700000000000003,7.009999999999998,7.009999999999998,59.76129582267687,False,,,,,,,,,1,⚠️ WEAK
BITB,False,False,False,BitcoinETF,False,True,False,False,584501.2202199999,False,90.91,89.47,19,91.67,100.0,7,100.0,0.0,1,0,2025-06-30,58.59,41.17,17.42,0.779999999999994,0.779999999999994,1.331285202252934,True,,,,,,,,,1,⚠️ WEAK
BITW,False,False,False,BitcoinETF,False,True,False,False,39069.525022500005,False,82.14,80.0,40,88.46,69.23,13,75.0,75.0,8,4,2025-06-30,65.78,42.8,22.980000000000004,10.0,10.0,15.202189115232592,False,,,,,,,,,1,⚠️ WEAK
HUT,False,False,False,Bitcoin,False,True,False,True,1629171.78708,False,87.1,87.72,57,87.5,89.13,46,88.37,86.11,43,36,2025-06-30,18.6,10.04,8.560000000000002,14.559999999999995,14.559999999999995,78.27956989247309,False,,,,,,,,,3,⚠️ WEAK
CLSK,False,False,False,Bitcoin,False,True,False,False,2973952.642405,False,87.5,87.1,62,87.93,81.82,55,84.0,86.05,50,43,2023-12-31,11.03,3.38,7.6499999999999995,1.9300000000000015,1.9300000000000015,17.497733454215787,False,,,,,,,,,3,⚠️ WEAK
CORZ,False,False,False,Bitcoin,False,True,False,False,1528921.439485,False,96.88,92.31,26,89.47,82.35,17,92.31,85.71,13,7,,,,,,,,,,,,,,,,,1,⚠️ WEAK
